"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\START.dart", "Dart", 484, 0, 10, 494
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Score.dart", "Dart", 534, 9, 26, 569
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 63, 0, 5, 68
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 138, 1, 5, 144
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 106, 1, 5, 112
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 349, 1, 5, 355
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\PROACS.dart", "Dart", 134, 1, 5, 140
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RACE.dart", "Dart", 246, 1, 9, 256
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RTS.dart", "Dart", 98, 1, 5, 104
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\TAP.dart", "Dart", 130, 1, 5, 136
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\main.dart", "Dart", 262, 1, 7, 270
"Total", "-", 2544, 17, 87, 2648